	2A01S2	2A12B3	2A12S2	2A12S3	2B01S2	2B02S1	2B02S2	2B03B1	2B03B2	2B03B3	2B03S1	2B03S2	301B1	301S1	301S2	301S3	302S1	303S2	M01S1	M01S2	M01S3	M02S1	M04S1	M04S2	M04S3	M06S2	M06S3	M07S1	M07S2	M08B1	M08S2	M08S3	M11S1	M11S2	M11S3	M15S1	M15S2	M15S3	M16S3	M19S1	M19S2	M19S3	M20B1	M20B2	M20B3	M22S1	M22S2	M24S1	M24S2	M26S1	M26S2	M28S1	M28S2	M28S3	M30B1	M30B2	M30B3	M30S1	M30S2	M32B1	M32B3	M32S2	M32S3	PCR_blank_002
2B03S2	1.0	0.9766666666666667	1.0	0.9433333333333334	1.0	1.0	1.0	0.152	0.2693333333333333	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.156	1.0	1.0	1.0	0.6266666666666667	1.0	1.0	1.0	1.0	1.0	0.44066666666666665	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.434	1.0	1.0	1.0	1.0	1.0	1.0	0.15066666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9433333333333334	1.0	0.15666666666666668	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.16	0.9986666666666667
301B1	1.0	0.9966666666666667	0.9933333333333333	1.0	0.996	1.0	0.5113333333333333	1.0	1.0	0.9986666666666667	0.9966666666666667	1.0	0.0	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.9966666666666667	1.0	0.998	1.0	1.0	0.722	1.0	0.9966666666666667	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.9966666666666667	1.0	1.0	0.9966666666666667	0.5	1.0	0.5473333333333333	1.0	0.996	0.6333333333333333	0.996	1.0	0.9953333333333333	1.0	0.996	0.9966666666666667	0.9966666666666667	0.9953333333333333	0.9966666666666667	1.0	0.9966666666666667	0.9966666666666667	1.0	0.9046666666666666	1.0
301S1	1.0	0.974	0.9813333333333333	1.0	0.9973333333333333	1.0	1.0	1.0	1.0	0.9833333333333333	1.0	1.0	0.9993333333333333	0.0	1.0	0.9346666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9966666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9926666666666667	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	0.87	1.0	1.0	0.998	1.0	1.0	1.0	1.0
301S2	0.794	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9973333333333333	1.0	1.0	0.59	0.44066666666666665	0.49866666666666665	1.0	1.0	1.0	0.104	1.0	0.752	0.11733333333333333	0.09733333333333333	0.11466666666666667	0.658	0.5453333333333333	0.6206666666666667	0.5886666666666667	0.12666666666666668	0.7866666666666666	0.10266666666666667	1.0	0.13133333333333333	0.512	1.0	0.522	1.0	1.0	1.0	0.574	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9553333333333334	1.0	1.0	0.9973333333333333	1.0	1.0	1.0	1.0	1.0
301S3	1.0	0.936	0.982	1.0	0.9913333333333333	1.0	1.0	1.0	1.0	0.88	1.0	1.0	0.9993333333333333	0.9346666666666666	0.9973333333333333	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9886666666666667	1.0	0.9926666666666667	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	0.9326666666666666	1.0	0.7073333333333334	1.0	1.0	1.0	1.0	1.0
302S1	1.0	0.9766666666666667	0.9986666666666667	1.0	0.9986666666666667	1.0	1.0	0.104	0.2753333333333333	1.0	0.9986666666666667	0.156	0.9986666666666667	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.6286666666666667	1.0	0.9993333333333333	1.0	1.0	0.9986666666666667	0.43933333333333335	0.9986666666666667	1.0	1.0	1.0	1.0	0.9986666666666667	0.9993333333333333	1.0	0.43733333333333335	0.9986666666666667	0.9986666666666667	1.0	0.9986666666666667	1.0	1.0	0.11666666666666667	1.0	1.0	0.9986666666666667	1.0	0.9986666666666667	0.9986666666666667	0.9986666666666667	1.0	0.9986666666666667	0.156	0.9986666666666667	0.9986666666666667	0.9986666666666667	0.9986666666666667	0.9986666666666667	1.0	0.9986666666666667	0.9986666666666667	1.0	0.16333333333333333	0.9986666666666667
303S2	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M01S1	0.7926666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.59	1.0	1.0	1.0	0.0	0.4673333333333333	0.5853333333333334	0.8806666666666667	0.8426666666666667	0.5013333333333333	0.59	1.0	0.7586666666666667	0.5873333333333334	0.5946666666666667	0.5966666666666667	0.6673333333333333	0.5946666666666667	0.628	0.6033333333333334	0.5906666666666667	0.7893333333333333	0.592	1.0	0.5853333333333334	0.5986666666666667	1.0	0.578	1.0	0.8353333333333334	1.0	0.5993333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.956	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M01S2	0.7946666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.44066666666666665	1.0	1.0	1.0	0.4673333333333333	0.0	0.508	0.8826666666666667	0.8773333333333333	0.8733333333333333	0.43733333333333335	1.0	0.756	0.442	0.44733333333333336	0.438	0.6593333333333333	0.5673333333333334	0.6266666666666667	0.5926666666666667	0.432	0.7906666666666666	0.438	1.0	0.43933333333333335	0.52	1.0	0.5326666666666666	1.0	0.878	1.0	0.5733333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9546666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M01S3	0.7913333333333333	0.9766666666666667	1.0	1.0	1.0	1.0	1.0	0.6246666666666667	0.6246666666666667	1.0	1.0	0.6266666666666667	1.0	1.0	0.49866666666666665	1.0	0.6286666666666667	1.0	0.5853333333333334	0.508	0.0	1.0	1.0	1.0	0.5033333333333333	1.0	0.384	0.502	0.5126666666666667	0.5053333333333333	0.658	0.5606666666666666	0.626	0.5946666666666667	0.504	0.4186666666666667	0.49666666666666665	1.0	0.49733333333333335	0.5213333333333333	1.0	0.52	0.6253333333333333	1.0	1.0	0.578	1.0	1.0	1.0	1.0	1.0	1.0	0.626	1.0	1.0	0.956	1.0	1.0	1.0	1.0	1.0	1.0	0.63	0.9986666666666667
M02S1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8806666666666667	0.8826666666666667	1.0	0.0	0.8833333333333333	0.6146666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.708	0.7066666666666667	0.7346666666666667	1.0	0.8586666666666667	1.0	0.43466666666666665	1.0	1.0	0.708	0.7066666666666667	1.0	0.8813333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7033333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M04S1	1.0	1.0	0.9993333333333333	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	0.9993333333333333	1.0	1.0	1.0	0.9993333333333333	1.0	0.8426666666666667	0.8773333333333333	1.0	0.8833333333333333	0.0	0.8393333333333334	1.0	0.9993333333333333	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	0.9993333333333333	0.79	1.0	0.9993333333333333	0.9993333333333333	0.9993333333333333	1.0	0.9993333333333333	1.0	1.0	0.9993333333333333	0.8453333333333334	1.0	0.9993333333333333	1.0	0.9993333333333333	0.9993333333333333	0.9993333333333333	1.0	0.9993333333333333	1.0	0.9993333333333333	0.9993333333333333	0.9993333333333333	0.9993333333333333	0.9993333333333333	1.0	0.9993333333333333	0.9993333333333333	1.0	1.0	1.0
M04S2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5013333333333333	0.8733333333333333	1.0	0.6146666666666667	0.8393333333333334	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7126666666666667	1.0	1.0	1.0	0.7066666666666667	1.0	1.0	1.0	1.0	1.0	0.8373333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M04S3	0.7906666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.104	1.0	1.0	1.0	0.59	0.43733333333333335	0.5033333333333333	1.0	1.0	1.0	0.0	1.0	0.7593333333333333	0.126	0.10466666666666667	0.10866666666666666	0.6566666666666666	0.5473333333333333	0.6206666666666667	0.5853333333333334	0.13	0.7893333333333333	0.096	1.0	0.13933333333333334	0.514	1.0	0.528	1.0	1.0	1.0	0.5753333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9553333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M06S2	1.0	0.9986666666666667	0.5006666666666667	1.0	0.30933333333333335	1.0	1.0	1.0	1.0	0.9993333333333333	0.9866666666666667	1.0	0.9966666666666667	0.9966666666666667	1.0	0.998	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.0	0.9986666666666667	0.9973333333333333	1.0	1.0	1.0	1.0	0.9566666666666667	0.9993333333333333	0.9986666666666667	0.9993333333333333	0.9966666666666667	0.998	1.0	0.8913333333333333	1.0	1.0	0.982	1.0	1.0	0.996	1.0	0.30933333333333335	0.9973333333333333	0.31266666666666665	1.0	0.30466666666666664	1.0	0.338	0.9853333333333333	0.9846666666666667	0.8333333333333334	0.9846666666666667	0.9986666666666667	0.4186666666666667	0.9906666666666667	1.0	0.9993333333333333	1.0
M06S3	0.798	0.9766666666666667	1.0	1.0	1.0	1.0	1.0	0.43066666666666664	0.43666666666666665	1.0	1.0	0.44066666666666665	1.0	1.0	0.752	1.0	0.43933333333333335	1.0	0.7586666666666667	0.756	0.384	1.0	1.0	1.0	0.7593333333333333	0.9986666666666667	0.0	0.7546666666666667	0.7566666666666667	0.752	0.7613333333333333	0.756	0.754	0.7626666666666667	0.754	0.246	0.752	1.0	0.7533333333333333	0.7613333333333333	0.9993333333333333	0.754	0.43666666666666665	0.9153333333333333	1.0	0.7566666666666667	1.0	1.0	1.0	1.0	0.9193333333333333	1.0	0.43733333333333335	1.0	1.0	0.9566666666666667	1.0	1.0	1.0	0.9933333333333333	1.0	1.0	0.438	0.9986666666666667
M07S1	0.766	1.0	0.998	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.998	1.0	0.998	1.0	0.11733333333333333	1.0	0.9986666666666667	1.0	0.5873333333333334	0.442	0.502	1.0	0.9993333333333333	1.0	0.126	0.9973333333333333	0.7546666666666667	0.0	0.13266666666666665	0.138	0.6593333333333333	0.5486666666666666	0.6206666666666667	0.59	0.12733333333333333	0.786	0.13	0.998	0.12533333333333332	0.5053333333333333	1.0	0.5273333333333333	0.998	1.0	1.0	0.5686666666666667	0.972	0.998	0.998	0.998	1.0	0.998	1.0	0.998	0.998	0.9533333333333334	0.998	0.998	1.0	0.998	0.998	1.0	1.0	1.0
M07S2	0.7946666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.09733333333333333	1.0	1.0	1.0	0.5946666666666667	0.44733333333333336	0.5126666666666667	1.0	1.0	1.0	0.10466666666666667	1.0	0.7566666666666667	0.13266666666666665	0.0	0.10266666666666667	0.662	0.5586666666666666	0.6233333333333333	0.5906666666666667	0.142	0.7833333333333333	0.09533333333333334	1.0	0.13266666666666665	0.5133333333333333	1.0	0.5286666666666666	1.0	1.0	1.0	0.5773333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.956	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M08B1	0.7913333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.11466666666666667	1.0	1.0	1.0	0.5966666666666667	0.438	0.5053333333333333	1.0	1.0	1.0	0.10866666666666666	1.0	0.752	0.138	0.10266666666666667	0.0	0.6573333333333333	0.5533333333333333	0.626	0.59	0.13733333333333334	0.7886666666666666	0.07333333333333333	1.0	0.136	0.5193333333333333	1.0	0.532	1.0	1.0	1.0	0.5693333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9553333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M08S2	0.7973333333333333	1.0	1.0	1.0	1.0	1.0	0.7373333333333333	1.0	1.0	0.9993333333333333	1.0	1.0	0.722	1.0	0.658	0.9993333333333333	1.0	1.0	0.6673333333333333	0.6593333333333333	0.658	1.0	1.0	1.0	0.6566666666666666	1.0	0.7613333333333333	0.6593333333333333	0.662	0.6573333333333333	0.0	0.662	0.6633333333333333	0.664	0.6553333333333333	0.7933333333333333	0.6573333333333333	1.0	0.6566666666666666	0.664	1.0	0.6613333333333333	1.0	0.742	1.0	0.4093333333333333	1.0	1.0	0.7433333333333333	1.0	1.0	0.9993333333333333	1.0	0.9993333333333333	1.0	0.956	0.9993333333333333	1.0	0.9993333333333333	1.0	1.0	1.0	0.9053333333333333	1.0
M08S3	0.796	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5453333333333333	1.0	1.0	1.0	0.5946666666666667	0.5673333333333334	0.5606666666666666	0.708	1.0	1.0	0.5473333333333333	1.0	0.756	0.5486666666666666	0.5586666666666666	0.5533333333333333	0.662	0.0	0.318	0.5973333333333334	0.5546666666666666	0.6486666666666666	0.5606666666666666	0.6846666666666666	0.534	0.57	0.684	0.24066666666666667	1.0	1.0	1.0	0.582	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6433333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M11S1	0.796	1.0	0.9573333333333334	1.0	0.9553333333333334	1.0	1.0	1.0	1.0	1.0	0.9873333333333333	1.0	0.9966666666666667	1.0	0.6206666666666667	1.0	0.9986666666666667	1.0	0.628	0.6266666666666667	0.626	0.7066666666666667	0.9993333333333333	1.0	0.6206666666666667	0.9566666666666667	0.754	0.6206666666666667	0.6233333333333333	0.626	0.6633333333333333	0.318	0.0	0.626	0.6226666666666667	0.65	0.6206666666666667	0.4846666666666667	0.622	0.5853333333333334	0.4866666666666667	0.24	0.982	1.0	1.0	0.6286666666666667	1.0	0.9566666666666667	0.9973333333333333	0.9573333333333334	1.0	0.9573333333333334	1.0	0.9573333333333334	0.986	0.42533333333333334	0.9573333333333334	0.9846666666666667	1.0	0.9526666666666667	0.9906666666666667	1.0	1.0	1.0
M11S2	0.796	1.0	0.9993333333333333	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	0.9993333333333333	1.0	0.5886666666666667	1.0	0.9993333333333333	1.0	0.6033333333333334	0.5926666666666667	0.5946666666666667	0.7346666666666667	0.79	0.7126666666666667	0.5853333333333334	0.9993333333333333	0.7626666666666667	0.59	0.5906666666666667	0.59	0.664	0.5973333333333334	0.626	0.0	0.588	0.7926666666666666	0.5946666666666667	0.714	0.5866666666666667	0.5926666666666667	1.0	0.59	0.9993333333333333	1.0	1.0	0.5993333333333334	1.0	0.9993333333333333	0.9993333333333333	0.9993333333333333	1.0	0.9993333333333333	1.0	0.9993333333333333	0.9993333333333333	0.954	0.9993333333333333	0.9993333333333333	1.0	0.9993333333333333	0.9993333333333333	1.0	1.0	1.0
M11S3	0.7926666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.12666666666666668	1.0	1.0	1.0	0.5906666666666667	0.432	0.504	1.0	1.0	1.0	0.13	0.9986666666666667	0.754	0.12733333333333333	0.142	0.13733333333333334	0.6553333333333333	0.5546666666666666	0.6226666666666667	0.588	0.0	0.7866666666666666	0.12666666666666668	1.0	0.132	0.5133333333333333	1.0	0.5153333333333333	1.0	1.0	1.0	0.572	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	0.9993333333333333	1.0	0.9553333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M15S1	0.798	0.9766666666666667	0.9993333333333333	1.0	0.9993333333333333	1.0	1.0	0.43733333333333335	0.432	1.0	0.9993333333333333	0.434	0.9993333333333333	1.0	0.7866666666666666	1.0	0.43733333333333335	1.0	0.7893333333333333	0.7906666666666666	0.4186666666666667	0.8586666666666667	0.9993333333333333	1.0	0.7893333333333333	0.9993333333333333	0.246	0.786	0.7833333333333333	0.7886666666666666	0.7933333333333333	0.6486666666666666	0.65	0.7926666666666666	0.7866666666666666	0.0	0.7866666666666666	0.856	0.788	0.7906666666666666	0.8573333333333333	0.6466666666666666	0.43266666666666664	1.0	1.0	0.792	1.0	0.9993333333333333	0.9993333333333333	0.9993333333333333	1.0	0.9993333333333333	0.43333333333333335	0.9993333333333333	0.9993333333333333	0.812	0.9993333333333333	0.9993333333333333	1.0	0.9993333333333333	0.9993333333333333	1.0	0.44133333333333336	0.9986666666666667
M15S2	0.792	1.0	0.9986666666666667	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	1.0	0.9986666666666667	1.0	0.10266666666666667	1.0	0.9986666666666667	1.0	0.592	0.438	0.49666666666666665	1.0	0.9993333333333333	1.0	0.096	0.9966666666666667	0.752	0.13	0.09533333333333334	0.07333333333333333	0.6573333333333333	0.5606666666666666	0.6206666666666667	0.5946666666666667	0.12666666666666668	0.7866666666666666	0.0	0.9986666666666667	0.134	0.5093333333333333	1.0	0.53	0.9986666666666667	1.0	1.0	0.5726666666666667	1.0	0.9986666666666667	0.9986666666666667	0.9986666666666667	1.0	0.9966666666666667	1.0	0.9966666666666667	0.9986666666666667	0.9546666666666667	0.9986666666666667	0.9986666666666667	1.0	0.9986666666666667	0.9986666666666667	1.0	1.0	1.0
M15S3	1.0	1.0	0.998	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.998	1.0	0.998	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	0.43466666666666665	0.9993333333333333	0.7066666666666667	1.0	0.998	1.0	0.998	1.0	1.0	1.0	0.6846666666666666	0.4846666666666667	0.714	1.0	0.856	0.9986666666666667	0.0	1.0	0.998	0.4	0.606	0.998	1.0	1.0	0.998	1.0	0.998	0.998	0.998	1.0	0.998	1.0	0.998	0.998	0.39	0.998	0.998	1.0	0.998	0.998	1.0	1.0	1.0
M16S3	0.792	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.13133333333333333	1.0	1.0	1.0	0.5853333333333334	0.43933333333333335	0.49733333333333335	1.0	1.0	1.0	0.13933333333333334	1.0	0.7533333333333333	0.12533333333333332	0.13266666666666665	0.136	0.6566666666666666	0.534	0.622	0.5866666666666667	0.132	0.788	0.134	1.0	0.0	0.516	1.0	0.5206666666666667	1.0	1.0	1.0	0.5766666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.956	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
