Sample	type	location	site	zone	Lat	Long
M26S2	sample	surface	M26	Musq	45.16529 N	66.24461 W
M28S1	sample	surface	M28	Musq	45.15721 N	66.24971 W
M28S2	sample	surface	M28	Musq	45.15721 N	66.24971 W
M28S3	sample	surface	M28	Musq	45.15721 N	66.24971 W
M30B1	sample	bottom	M30	Musq	45.14826 N	66.24730 W
M30B2	sample	bottom	M30	Musq	45.14826 N	66.24730 W
M30B3	sample	bottom	M30	Musq	45.14826 N	66.24730 W
M30S1	sample	surface	M30	Musq	45.14826 N	66.24730 W
M30S2	sample	surface	M30	Musq	45.14826 N	66.24730 W
M32B1	sample	bottom	M32	Musq	45.14379 N	66.24604 W
M32B2	sample	bottom	M32	Musq	45.14379 N	66.24604 W
M32B3	sample	bottom	M32	Musq	45.14379 N	66.24604 W
M32S2	sample	surface	M32	Musq	45.14379 N	66.24604 W
M32S3	sample	surface	M32	Musq	45.14379 N	66.24604 W
PCR_blank_001	pcrblank	blank	PCR_blank_001	blank		
PCR_blank_002	pcrblank	blank	PCR_blank_002	blank		
