materialSampleID,watersample,sampleDepth,waterColumnLocation,samplingStation,controlType,volumeFiltered,dateFiltered,timeFiltration,totalDNAconc,unitsDNAconc,eventDate,eventTime,decimalLatitude,decimalLongitude,recordedBy,tide,waterTemp,depthWaterTemp
2023SAB-14,413393,28.9,Bottom,SAB_16,,3.16,8/16/2023,11:20:00,8.45,ng/ul,8/16/2023,11:20:00,45 59.7532,59 12.1106,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-15,413395,59,Bottom,SAB_17,,3.22,8/16/2023,11:50:00,2.44,ng/ul,8/16/2023,11:50:00,46 00.2629,59 11.1599,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-16,413397,140.1,Bottom,SAB_18,,3.24,8/16/2023,13:05:00,2.22,ng/ul,8/16/2023,13:05:00,45 54.5809,58 59.3513,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-17,413398,140.1,Bottom,SAB_18,,3.22,8/16/2023,13:05:00,3.81,ng/ul,8/16/2023,13:05:00,45 54.5809,58 59.3513,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-18,413399,140.1,Bottom,SAB_18,,3.33,8/16/2023,13:05:00,2.05,ng/ul,8/16/2023,13:05:00,45 54.5809,58 59.3513,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-19,413400,140.1,Surface,SAB_18,,3.22,8/16/2023,13:05:00,2.47,ng/ul,8/16/2023,13:05:00,45 54.5809,58 59.3513,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-20,413401,140.1,Surface,SAB_18,,3.42,8/16/2023,13:05:00,2.04,ng/ul,8/16/2023,13:05:00,45 54.5809,58 59.3513,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-21,413407,143,Surface,SAB_19,,3.21,8/16/2023,14:41:00,12.5,ng/ul,8/16/2023,14:41:00,45 54.2999,59 01.4765,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-22,413438,53,Bottom,SAB_28,,3.14,8/18/2023,9:58:00,3.11,ng/ul,8/18/2023,9:58:00,45 52.8622,59 32.4424,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-23,413343,0,BLANK,BLANK,field blank,2,8/18/2023,9:58:00,1.4,ng/ul,8/18/2023,9:58:00,NA,NA,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-24,413344,71.7,Bottom,SAB_01,,3.3,8/14/2023,8:35:00,1.48,ng/ul,8/14/2023,8:35:00,45 50.4525,59 38.4498,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-25,413345,71.7,Bottom,SAB_01,,3.25,8/14/2023,8:35:00,1.46,ng/ul,8/14/2023,8:35:00,45 50.4525,59 38.4498,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-26,413346,71.7,Bottom,SAB_01,,3.37,8/14/2023,8:35:00,2.03,ng/ul,8/14/2023,8:35:00,45 50.4525,59 38.4498,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-27,413347,88.5,Bottom,SAB_02,,3.25,8/14/2023,9:14:00,1.38,ng/ul,8/14/2023,9:14:00,45 49.6379,59 37.43,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-28,413348,88.5,Bottom,SAB_02,,3.2,8/14/2023,9:14:00,1.5,ng/ul,8/14/2023,9:14:00,45 49.6379,59 37.43,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
