SET-LEVEL FLAGS

flag id,cruise,set,flag,explanation,created by,creation date,approved by,approved date,comment
9115,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),8,946,Sea Anemones unidentified (Bolocera sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 10:49:42 UTC,Jamie,2023-06-30 10:49:57 UTC,---
9283,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,972,BLUEBACK HERRING,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:03 UTC,Jamie,2023-06-30 13:31:05 UTC,---
9253,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,960,NORTHERN SAND LANCE,calculated specimen weight is greater than expected,The calculated total specimen weight is greater than the basket weight by a different of greater than 25%,Jamie,2023-06-30 13:30:37 UTC,Jamie,2023-06-30 13:31:00 UTC,---
9297,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,960,NORTHERN SAND LANCE,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:05 UTC,Jamie,2023-06-30 13:31:07 UTC,---
9310,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,971,BUTTERFISH,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:07 UTC,Jamie,2023-06-30 13:31:09 UTC,---
9322,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,963,Sea Potato (B. ovifera),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:09 UTC,Jamie,2023-06-30 13:31:17 UTC,---
9343,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,959,SEA SQUIRTS,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:18 UTC,Jamie,2023-06-30 13:31:23 UTC,---
9353,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,968,Lamp shell unidentified,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:23 UTC,Jamie,2023-06-30 13:31:25 UTC,---
9362,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,967,Turban Barnacle,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:25 UTC,Jamie,2023-06-30 13:31:27 UTC,---
9275,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,961,Arctic Lyre Crab/Lesser toad crab,calculated specimen weight is lower than expected,The calculated total specimen weight is less than the basket weight by a different of greater than 25%,Jamie,2023-06-30 13:31:01 UTC,Jamie,2023-06-30 13:31:03 UTC,---
9370,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,969,PARATHEMISTO,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:27 UTC,Jamie,2023-06-30 13:31:29 UTC,---
9377,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,962,Octopus (Bathypolypus sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:30 UTC,Jamie,2023-06-30 13:31:31 UTC,---
