catch_ratio,created_at,id,is_parent,mission_number,notes,parent_catch,parent_catch_id,relative_abundance_category,relative_abundance_category_id,set_number,species,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid,specimen_count,unweighed_baskets
,2023-06-29 12:08:22 UTC,840,No,TEL-2023-010,,,,,,3,BUTTERFISH,159828,701,BUTTERFISH,Stromatée à fossette,Peprilus triacanthus,af1c13d6-f851-488f-bf35-e047d1a85587,,
,2023-06-29 12:16:11 UTC,849,No,TEL-2023-010,,,,,,3,Bristled longbeak shrimp,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17,34,
,2023-06-29 12:10:03 UTC,843,No,TEL-2023-010,,,,,,3,JONAH CRAB,158056,2511,JONAH CRAB,Crabe tourteau boreal,Cancer borealis,cdfcf0a9-f001-42b3-b1d4-6864a26ff297,,
,2023-06-29 12:04:53 UTC,836,No,TEL-2023-010,,,,,,3,AMERICAN LOBSTER,156134,2550,AMERICAN LOBSTER,Homard américain,Homarus americanus,fa1d2e4f-ecf5-414f-a342-c3aa3c346bd2,,
,2023-06-29 12:14:12 UTC,847,No,TEL-2023-010,,,,,,3,Octopus (Bathypolypus sp.),138265,4508,Octopus (Bathypolypus sp.),Poulpes (Bathypolypus sp.),Bathypolypus sp.,72243fbc-9075-11ec-8fd9-a08cfde36583,1,
,2023-06-29 12:10:28 UTC,844,No,TEL-2023-010,,,,,,3,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",574541,4512,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",,Doryteuthis pealeii,f7103d59-0af7-46c5-9ee1-1e0435b33a09,,
,2023-06-29 12:11:56 UTC,846,No,TEL-2023-010,,,,,,3,MUD STAR,123915,6115,MUD STAR,Étoile de mer (C. crispatus),Ctenodiscus crispatus,09d8152f-17d3-4565-8684-4691d258f4f3,4,
,2023-06-29 12:11:07 UTC,845,No,TEL-2023-010,,,,,,3,Cushion Star (H. phrygiana),124043,6117,Cushion Star (H. phrygiana),Étoile de mer coussin (H. phrygiana),Hippasteria phrygiana,5ce7e263-b11b-4cc1-9301-11c58a374086,1,
,2023-06-29 12:18:25 UTC,852,No,TEL-2023-010,,,,,,3,Molpadia unidentified,123540,6718,Molpadia unidentified,Molpadia non-spécifié,Molpadia sp.,514dd278-b58d-4d5a-a474-63f259a34c5a,1,
,2023-06-29 12:17:26 UTC,851,No,TEL-2023-010,,,,,,3,Sea Pen (P. aculeata),128515,8367,Sea Pen (P. aculeata),Plume de mer (P. aculeata),Pennatula aculeata,2f9985be-dbe1-11ec-bdaf-a08cfde36583,4,
,2023-06-29 15:38:24 UTC,861,No,TEL-2023-010,,,,,,4,HADDOCK,126437,11,HADDOCK,Aiglefin,Melanogrammus aeglefinus,2a595a64-620c-4678-838e-d69cc81ffecd,,
,2023-06-29 15:38:12 UTC,860,No,TEL-2023-010,,,,,,4,SQUIRREL OR RED HAKE,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a,,
,2023-06-29 15:37:18 UTC,857,No,TEL-2023-010,,,,,,4,SILVER HAKE,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7,,
,2023-06-29 15:36:41 UTC,855,No,TEL-2023-010,,,,,,4,POLLOCK,126441,16,POLLOCK,Goberge,Pollachius virens,12868fea-63cc-4e2a-8ac6-8ef21ba5eca1,,
,2023-06-29 16:46:08 UTC,870,No,TEL-2023-010,,,,,,4,OFF-SHORE HAKE,158748,19,OFF-SHORE HAKE,Merlu blanc,Merluccius albidus,294949f9-741c-43fa-85ff-cb095ce44d07,,
,2023-06-29 15:35:50 UTC,854,No,TEL-2023-010,,,,,,4,REDFISH UNSEPARATED,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b,,
