aphia_id,code,common_name_en,common_name_fr,created_at,created_by,created_by_id,id,invertebrate,is_invalid,is_new,last_modified_by,last_modified_by_id,scientific_name,shrimp,updated_at,uuid
240796,1281,ARISTAEPSIS EDWARDSINANA,Gambon écarlate,2022-05-25 01:46:31 UTC,pablo,10,10967,No,No,No,boivinb,46,Aristaeopsis edwardsiana,Yes,2023-05-23 20:03:08 UTC,2f9dbdd2-dbe1-11ec-bdaf-a08cfde36583
158362,1282,INCL LEBBEUS ZEBRA,Bouc (L. microceros),2020-08-13 14:04:48 UTC,,,1282,No,No,No,boivinb,46,Lebbeus microceros,Yes,2023-05-23 20:03:16 UTC,53da0413-c614-493b-9fe7-aeda231df0f5
1056517,1283,SERGIA,Robustosergia robusta,2020-08-13 14:04:48 UTC,,,1283,No,No,No,,,Robustosergia robusta,No,2023-03-07 15:15:35 UTC,6a1d79f1-1927-4808-823e-ae5adafeab1f
138216,1284,Crenella unidentified,Crenella non-spécifié,2020-08-13 14:04:48 UTC,,,1284,No,No,No,,,Crenella sp.,No,2023-03-07 15:15:35 UTC,f51b17ea-ec1c-4bdd-93e2-f574d3b56908
101489,1285,Corophium unidentified,Corophium non-spécifié,2020-08-13 14:04:48 UTC,,,1285,No,No,No,,,Corophium sp.,No,2023-03-07 15:15:35 UTC,a104eeb8-c8a7-4b6b-9a19-7cc76542a847
160314,1286,THICK-LIP DRILL,,2023-01-30 19:24:24 UTC,,,11844,No,No,Yes,,,Eupleura caudata,No,2023-03-07 15:22:49 UTC,7d41766c-c3f6-4d14-96fd-3e68c4d6fe99
160450,1288,LORA,Propebela nobilis,2020-08-13 14:04:48 UTC,,,1288,No,No,No,,,Propebela nobilis,No,2023-03-07 15:15:36 UTC,d1bd904d-b5c5-44d2-861b-c69f9561181e
125607,1289,FILEFISH UNSP.,,2023-01-30 19:24:26 UTC,,,11845,No,No,Yes,,,Balistidae,No,2023-03-07 15:22:49 UTC,182a9adb-e4df-4a60-a48f-0c34c63fe408
,1510,BUCCINIDAE/WHELK EGGS,,2023-01-30 19:24:26 UTC,,,11846,No,No,Yes,,,,No,2023-03-07 15:22:49 UTC,197dd5df-2495-4cbf-b77c-393d70afa312
,1511,GASTEROPODA/SNAIL/SLUG EGGS,,2023-01-30 19:24:26 UTC,,,11847,No,No,Yes,,,,No,2023-03-07 15:22:50 UTC,cd0fc550-018c-4818-85c3-e3dee5ef12fb
,1530,CEPHALOPODA/SQUID EGGS,,2023-01-30 19:24:26 UTC,,,11848,No,No,Yes,,,,No,2023-03-07 15:22:50 UTC,a73a0840-c94f-4669-9b7f-2d671aaaf8cf
1410,1700,foraminiferans / forams / hole bearers,,2023-01-30 19:24:28 UTC,,,11849,No,No,Yes,,,Foraminifera,No,2023-03-07 15:22:50 UTC,d244d2c3-9b28-4cdf-9410-c2f1a62e5601
111978,1725,Allogromia,,2023-01-30 19:24:30 UTC,,,11850,No,No,Yes,,,Allogromia,No,2023-03-07 15:22:50 UTC,be93f895-3cc4-421e-b39f-ede049b8ed60
582421,1750,RADIOLARIDA,,2023-01-30 19:24:31 UTC,,,11851,No,No,Yes,,,Radiozoa,No,2023-03-07 15:22:51 UTC,862ed783-1fce-4022-ae79-375b2c157201
146420,1810,Tunicate unidentified,Truniqué sessile non-spécifié,2020-08-13 14:04:48 UTC,,,1810,No,No,No,,,Tunicata (s.p.),No,2023-03-07 15:15:37 UTC,54546e63-10a3-4c1d-afc2-b974fa82b6f6
1839,1811,"Ascidians, Sessile Tunicates (Ascidiacea)","Ascidies, tuniqués sessiles (Ascidiacea)",2022-05-25 01:46:31 UTC,pablo,10,10929,No,No,No,pablo,10,Ascidiacea,No,2023-05-23 20:03:48 UTC,2f9d3c92-dbe1-11ec-bdaf-a08cfde36583
103815,1812,Sea Potato (B. ovifera),Patate de mer (B. ovifera),2022-01-25 01:46:31 UTC,pablo,10,10718,No,No,No,pablo,10,Boltenia ovifera,No,2023-05-23 20:03:52 UTC,7224ae84-9075-11ec-8fd9-a08cfde36583
103448,1815,Molgulidae unidentified,Molgulidae non-spécifié,2020-08-13 14:04:48 UTC,,,1815,No,No,No,,,Molgulidae (f.),No,2023-03-07 15:15:37 UTC,7aa6959d-6e21-4046-829a-6125d488361c
103483,1821,SEA SQUIRTS,Ascidie non-spécifié (Ascidia sp.),2020-08-13 14:04:48 UTC,,,1821,No,No,No,,,Ascidia sp.,No,2023-05-23 20:03:49 UTC,dfffab0a-2802-4e0e-aca8-d8829f1b0a58
103531,1822,Dendrodoa unidentified,Dendrodoa non-spécifié,2020-08-13 14:04:48 UTC,,,1822,No,No,No,,,Dendrodoa sp.,No,2023-03-07 15:15:37 UTC,41e82cb0-69a0-4cfd-a3c3-7f5b9fb87de6
103514,1823,SEA POTATO,Patate de mer,2020-08-13 14:04:48 UTC,,,1823,No,No,No,,,Boltenia sp.,No,2023-03-07 15:15:38 UTC,a283f2df-81a7-4f7e-b6ef-cf3e7768a59f
103536,1824,Pelonaia,,2023-01-30 19:24:34 UTC,,,11852,No,No,Yes,,,Pelonaia,No,2023-03-07 15:22:51 UTC,818ec5a2-dc09-4b4c-bf84-a599d9ca003a
103788,1826,SEA GRAPES,Ascidie,2020-08-13 14:04:48 UTC,,,1826,No,No,No,,,Molgula manhattensis,No,2023-03-07 15:15:38 UTC,75ba196c-7620-4fef-a39a-9b7d086d237c
