basket_wt_kg,catch_id,creation_date,id,last_modified_date,mission_number,sampled,set_number,size_class,size_class_display,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid
0.176,839,2023-06-29 12:07:33 UTC,877,2023-06-29 12:07:33 UTC,TEL-2023-010,Yes,3,1,1,126417,60,HERRING ATLANTIC,Hareng atlantique,Clupea harengus,5d02abb7-3748-44b9-83cf-d72cdeaa02ac
0.256,842,2023-06-29 12:09:48 UTC,880,2023-06-29 12:09:48 UTC,TEL-2023-010,Yes,3,1,1,158670,61,SHAD AMERICAN,Alose savoureuse,Alosa sapidissima,70a39611-09c3-4905-bcc1-c06548fbf372
0.87,837,2023-06-29 12:05:37 UTC,875,2023-06-29 12:09:03 UTC,TEL-2023-010,Yes,3,1,1,158669,62,ALEWIFE,Gaspereau,Alosa pseudoharengus,34ce3029-ca39-4e4d-8e6a-b5bde509b173
0.484,841,2023-06-29 12:09:24 UTC,879,2023-06-29 12:09:24 UTC,TEL-2023-010,Yes,3,1,1,127023,70,MACKEREL ATLANTIC,Maquereau bleu,Scomber scombrus,614cc280-5149-4d97-a3a1-39a54517eaa7
0.0005,850,2023-06-29 12:16:56 UTC,888,2023-06-29 12:16:56 UTC,TEL-2023-010,Yes,3,1,1,125498,150,LANTERNFISH,Poissons-lanterne non-spécifié (Myctophidae),Myctophidae sp.,96a8fc77-7bff-498e-867e-28867677cb8f
14.6,831,2023-06-29 12:01:14 UTC,863,2023-06-29 12:01:14 UTC,TEL-2023-010,Yes,3,1,1,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c
0.0025,853,2023-06-29 12:20:34 UTC,891,2023-06-29 12:20:34 UTC,TEL-2023-010,Yes,3,1,1,151520,610,NORTHERN SAND LANCE,Lançon du nord,Ammodytes dubius,e1d1886b-027c-4fec-a4c7-328731d3839b
1.58,840,2023-06-29 12:08:27 UTC,878,2023-06-29 12:08:27 UTC,TEL-2023-010,Yes,3,1,1,159828,701,BUTTERFISH,Stromatée à fossette,Peprilus triacanthus,af1c13d6-f851-488f-bf35-e047d1a85587
0.046,849,2023-06-29 12:16:18 UTC,887,2023-06-29 12:16:18 UTC,TEL-2023-010,No,3,1,1,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17
0.366,843,2023-06-29 12:10:11 UTC,881,2023-06-29 12:10:11 UTC,TEL-2023-010,Yes,3,1,1,158056,2511,JONAH CRAB,Crabe tourteau boreal,Cancer borealis,cdfcf0a9-f001-42b3-b1d4-6864a26ff297
1.14,836,2023-06-29 12:05:00 UTC,874,2023-06-29 12:05:00 UTC,TEL-2023-010,Yes,3,1,1,156134,2550,AMERICAN LOBSTER,Homard américain,Homarus americanus,fa1d2e4f-ecf5-414f-a342-c3aa3c346bd2
0.012,847,2023-06-29 12:14:26 UTC,885,2023-06-29 12:14:26 UTC,TEL-2023-010,No,3,1,1,138265,4508,Octopus (Bathypolypus sp.),Poulpes (Bathypolypus sp.),Bathypolypus sp.,72243fbc-9075-11ec-8fd9-a08cfde36583
0.142,844,2023-06-29 12:10:35 UTC,882,2023-06-29 12:10:35 UTC,TEL-2023-010,Yes,3,1,1,574541,4512,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",,Doryteuthis pealeii,f7103d59-0af7-46c5-9ee1-1e0435b33a09
0.022,846,2023-06-29 12:13:03 UTC,884,2023-06-29 12:13:03 UTC,TEL-2023-010,No,3,1,1,123915,6115,MUD STAR,Étoile de mer (C. crispatus),Ctenodiscus crispatus,09d8152f-17d3-4565-8684-4691d258f4f3
