# Constructed from biom file
#OTU ID	SAB_1	SAB_10	SAB_11	SAB_12	SAB_13	SAB_14	SAB_15	SAB_16	SAB_17	SAB_18	SAB_19	SAB_2	SAB_20	SAB_21	SAB_22	SAB_23	SAB_24	SAB_25	SAB_26	SAB_27	SAB_28	SAB_29	SAB_3	SAB_30	SAB_4	SAB_5	SAB_6	SAB_7	SAB_8	SAB_9
5cf1b932b25523670f221a120dec5329	1697.0	9521.0	11776.0	0.0	7397.0	12867.0	5915.0	0.0	5162.0	8105.0	5859.0	550.0	3429.0	4212.0	5965.0	8397.0	6151.0	6413.0	0.0	7372.0	4856.0	5033.0	844.0	0.0	24.0	3421.0	5421.0	6140.0	13.0	8432.0
409629d380f0fe839bf1e36b44ac511a	5458.0	1749.0	1111.0	0.0	3774.0	1722.0	13362.0	0.0	1031.0	691.0	523.0	71784.0	191.0	606.0	716.0	397.0	757.0	617.0	0.0	606.0	1158.0	666.0	13308.0	0.0	0.0	5328.0	3933.0	1421.0	4.0	1120.0
40a61c155f726ae612c092b86196e771	206.0	5759.0	8355.0	6.0	6693.0	13439.0	8136.0	0.0	4699.0	5462.0	3728.0	16.0	2696.0	3738.0	4225.0	11517.0	5519.0	5265.0	0.0	5604.0	3145.0	2483.0	69.0	0.0	0.0	3591.0	6130.0	4109.0	0.0	6270.0
d66c9e3afdd223f70f5b72fcdba7a07f	47035.0	2349.0	5377.0	0.0	6652.0	11616.0	3674.0	0.0	870.0	2996.0	816.0	6557.0	2176.0	679.0	909.0	1985.0	517.0	417.0	0.0	1088.0	461.0	557.0	12184.0	0.0	0.0	2111.0	2349.0	1539.0	0.0	2054.0
69a982b13970f31e96ae061e026c648e	96.0	15864.0	4975.0	0.0	3228.0	1694.0	11082.0	0.0	892.0	220.0	608.0	33.0	114.0	636.0	1178.0	175.0	2211.0	2521.0	5.0	76.0	731.0	158.0	501.0	0.0	0.0	15308.0	16256.0	20584.0	0.0	17095.0
25f3dd062c47e696c650dbc73191e41c	3089.0	9179.0	17427.0	0.0	14469.0	21756.0	8145.0	0.0	37.0	34.0	20.0	578.0	63.0	34.0	26.0	104.0	11.0	64.0	0.0	0.0	10.0	10.0	773.0	0.0	0.0	9825.0	12106.0	4562.0	0.0	8729.0
e721e9c8c7e28ce4b20c5bf1c4371c1b	73.0	8611.0	5103.0	0.0	3356.0	3150.0	5947.0	11.0	3964.0	3440.0	3807.0	66.0	2440.0	3116.0	5862.0	3023.0	9150.0	10183.0	4.0	2821.0	6334.0	3460.0	137.0	0.0	12.0	4876.0	6427.0	6238.0	0.0	8555.0
125d638f7dd7ceae03e7e01e38842268	6212.0	1699.0	3695.0	0.0	11103.0	8564.0	10055.0	0.0	1667.0	2702.0	1508.0	11405.0	2976.0	1340.0	2122.0	3057.0	1385.0	1527.0	0.0	2284.0	1143.0	1077.0	7211.0	0.0	7.0	12213.0	7482.0	2706.0	0.0	2301.0
471a5e7a317c03242305d433170e0c24	988.0	14000.0	7227.0	7.0	5978.0	8108.0	8495.0	0.0	1934.0	1909.0	3320.0	352.0	3045.0	2146.0	2276.0	864.0	2250.0	1819.0	0.0	1028.0	2345.0	1998.0	1041.0	0.0	21.0	7408.0	10227.0	7377.0	0.0	10981.0
0c4401071b5923ff67da832a275b1f77	2195.0	8890.0	3791.0	0.0	3285.0	5567.0	9004.0	0.0	2574.0	1293.0	2238.0	198.0	787.0	1832.0	2404.0	1926.0	3825.0	3978.0	0.0	851.0	1365.0	635.0	3820.0	0.0	33.0	6042.0	5771.0	6349.0	0.0	8408.0
3f51d2619b0c720dcae3afcfe3ba4b93	0.0	0.0	85.0	0.0	61.0	66.0	79.0	0.0	23.0	159.0	14564.0	134.0	46.0	24.0	17216.0	13.0	6.0	6802.0	0.0	13.0	19.0	45864.0	0.0	0.0	0.0	31.0	28.0	36.0	15.0	33.0
f69ba69cceb08479492c5fb6fd655be7	572.0	3536.0	5396.0	0.0	6039.0	4537.0	7236.0	0.0	0.0	0.0	0.0	1192.0	0.0	0.0	32.0	10.0	0.0	18.0	3.0	0.0	0.0	15.0	1144.0	0.0	14.0	23721.0	17000.0	7447.0	0.0	6436.0
5f50d3254e76cb03efb09f6997aca36c	137.0	3065.0	3786.0	0.0	2346.0	5749.0	2475.0	0.0	4319.0	5123.0	3521.0	0.0	7826.0	3144.0	4272.0	4942.0	3933.0	4862.0	0.0	3598.0	3475.0	2262.0	35.0	0.0	0.0	4216.0	5027.0	2920.0	0.0	3298.0
7f42512a09dc4e6dc1270052f7827041	2474.0	4069.0	11869.0	0.0	6957.0	2301.0	78.0	0.0	4219.0	60.0	22.0	0.0	103.0	11.0	25.0	7933.0	0.0	16.0	0.0	7236.0	62.0	58.0	20025.0	0.0	0.0	94.0	7680.0	6393.0	0.0	0.0
28312dd4aaaf782b8826fef1b74c5c34	6589.0	2606.0	2105.0	0.0	2386.0	3740.0	3832.0	0.0	2998.0	2413.0	2053.0	1577.0	1670.0	2011.0	2882.0	4039.0	5806.0	6400.0	0.0	2878.0	4538.0	2287.0	7144.0	0.0	0.0	2070.0	1719.0	3169.0	0.0	3675.0
708e4bf950433a5bf2316345a039e51c	89.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	798.0	0.0	0.0	0.0	345.0	0.0	0.0	9670.0	0.0	0.0	0.0	69509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
083054eef60c2ca6beb5cb4ea59a6865	6343.0	5086.0	4182.0	0.0	6593.0	13208.0	10290.0	0.0	463.0	568.0	455.0	815.0	401.0	414.0	647.0	1433.0	1491.0	1926.0	0.0	854.0	1223.0	531.0	5484.0	0.0	0.0	2411.0	3371.0	3675.0	0.0	4715.0
84c844e3b2c2d6376ff6a7d2ea2d7cf3	12.0	5406.0	1523.0	0.0	1062.0	561.0	2962.0	11.0	2903.0	469.0	2562.0	0.0	417.0	1927.0	4206.0	1012.0	10126.0	12514.0	0.0	407.0	3833.0	729.0	41.0	0.0	0.0	4962.0	6580.0	6543.0	0.0	5566.0
8892aad7cb83204ab5b4369f1cd45b66	4021.0	1584.0	851.0	0.0	7928.0	2431.0	11959.0	0.0	930.0	728.0	424.0	21491.0	378.0	528.0	807.0	586.0	721.0	591.0	0.0	455.0	446.0	325.0	4050.0	0.0	0.0	4658.0	3850.0	1170.0	0.0	907.0
fe89e03dde4eeadedee6ff4280560bf1	654.0	4825.0	2538.0	0.0	2338.0	1901.0	3358.0	0.0	4678.0	3201.0	4014.0	170.0	1884.0	2880.0	4357.0	2757.0	4211.0	4704.0	0.0	3097.0	3523.0	2884.0	970.0	0.0	0.0	1959.0	2569.0	3191.0	13.0	4684.0
