# Constructed from biom file
#OTU ID	Sample-1	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-3	Sample-4	Sample-5	Sample-6	Sample-7	Sample-8	Sample-9
a3fb3578c8f7f6c87c803d04db462d00	176.0	357.0	0.0	31957.0	29463.0	35184.0	16.0	87.0	128.0	106.0	0.0	306.0	264.0	106.0	150.0	21.0	924.0	1861.0	1130.0	0.0	85.0	0.0	183.0	242.0	187.0	259.0	215.0
82a283c9388543f1c21cc192ff24cfda	68.0	354.0	0.0	5145.0	2733.0	2811.0	0.0	90.0	105.0	1230.0	0.0	0.0	341.0	3648.0	510.0	79089.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	416.0
4a221f7f32a6c77153a67068011a848f	1026.0	38101.0	10.0	1337.0	1086.0	1143.0	0.0	1940.0	1057.0	123.0	0.0	1324.0	30500.0	5322.0	4897.0	628.0	14.0	91.0	87.0	6.0	801.0	0.0	57.0	858.0	54.0	3575.0	1524.0
322ab3ba1a23b7b9ca33e39ff8f10659	36.0	0.0	8.0	18212.0	16865.0	18300.0	3.0	0.0	0.0	0.0	0.0	39.0	85.0	17.0	34.0	0.0	19083.0	8836.0	11700.0	0.0	33.0	0.0	42.0	35.0	43.0	0.0	0.0
e428a707a00f770b67f4720e60c7f5e8	8154.0	35874.0	13.0	0.0	0.0	0.0	0.0	31.0	20.0	0.0	0.0	8319.0	254.0	40.0	37.0	471.0	149.0	211.0	235.0	0.0	6224.0	16.0	152.0	310.0	84.0	12889.0	11208.0
b3b902edc196c6f85e113278fc0e7e70	7067.0	15878.0	16.0	410.0	324.0	382.0	0.0	2393.0	1067.0	932.0	0.0	5896.0	12718.0	1946.0	1302.0	1413.0	386.0	950.0	886.0	7.0	5104.0	0.0	13.0	22.0	0.0	10440.0	5957.0
b1de41035bc775578078cc92a324bbe9	1444.0	1407.0	0.0	1532.0	2350.0	1693.0	0.0	7201.0	6350.0	9382.0	513.0	1555.0	380.0	94.0	105.0	0.0	16000.0	7266.0	11582.0	0.0	1257.0	0.0	0.0	0.0	34.0	1325.0	1367.0
ec5ae995ef48a2b7945a5851dec78076	3906.0	11563.0	13.0	1763.0	1934.0	2228.0	16.0	11980.0	13439.0	4050.0	175.0	6142.0	424.0	96.0	146.0	0.0	387.0	2967.0	2234.0	0.0	2252.0	4.0	61.0	279.0	48.0	2926.0	1417.0
bb35c3f378e0b676e40a473e70216f9c	925.0	0.0	0.0	302.0	0.0	816.0	0.0	0.0	0.0	0.0	0.0	352.0	42.0	1631.0	272.0	0.0	5324.0	29705.0	21034.0	0.0	573.0	0.0	0.0	0.0	0.0	289.0	0.0
9b786110af306c8daa186daab6ec2e76	33.0	0.0	16.0	44.0	41.0	53.0	0.0	8.0	0.0	0.0	142.0	21.0	106.0	19.0	33.0	2.0	24395.0	13332.0	19000.0	0.0	9.0	51.0	11.0	0.0	9.0	0.0	0.0
3b9c4d1e7e60caa685494d4d165823a3	8898.0	1128.0	0.0	1891.0	1655.0	1636.0	7.0	888.0	756.0	1212.0	0.0	11192.0	7112.0	2323.0	3294.0	401.0	0.0	56.0	0.0	0.0	8277.0	0.0	102.0	160.0	122.0	1308.0	752.0
