Species,percentMatch,ENEG.1_S19,ENEG.1_S30,ENEG.1_S42,ENEG.2_S39,ENEG.2_S44,ENEG.2_S67,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.031,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.035,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060
Pholis gunnellus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,897,588,0,0,0,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,0
Pholis gunnellus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholis gunnellus,100,73,72,156,76,502,79,533,1313,357,191,31652,40358,26340,205,22102,21703,15214,145,56107,74101,137173,67,17541,59446,10848,168,194,35737,30472,15756,34326,24916,35168,195,59638,72133,48044,2947,18237,18088,5225,35,6389,8845,3466,575,39,60154,54449,71927,34837,47270,49354,137,14997,30098,181,94272,78690,19612,240,6648,6950,9936,215,16193,50781,34751,41
Pholis gunnellus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0
Eumesogrammus praecisus,100,0,0,0,0,0,0,144,0,34,0,2561,581,417,0,326,0,0,0,1254,816,1331,0,270,366,303,0,0,1151,0,780,627,247,297,0,1620,1973,732,0,224,0,51,0,0,0,0,0,0,3889,0,467,724,4228,798,0,0,1475,0,8791,6466,4909,0,294,529,390,0,4939,0,0,0
Pholis gunnellus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumpenus lampretaeformis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,291,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0
Urophycis chuss,100,0,0,0,0,0,0,0,0,0,0,270,0,0,0,9,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,196,0,0,1113,3685,0,0,7724,1259,0,80,43,0,0,1021,0,1190,0
Urophycis tenuis,100,0,0,0,0,0,0,292,50,0,0,0,0,13,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,2125,841,1609,0,2741,4464,1842,0,582,507,95,0,490,257,57,0,1946,436,364,5855,1738,524,406,0,0,0,0,0,0,0,0,0,0,107,0,4474,565,231,0
Urophycis tenuis,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balistes capriscus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,453,1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balistes capriscus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,2011,1197,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
Hemitripterus americanus,100,0,0,0,0,0,0,24,42,0,17,686,0,94,0,1466,402,1703,0,582,842,771,0,1405,303,355,0,30,2197,671,0,4037,1893,2920,11,3090,2795,1664,0,2302,6415,234,0,25,0,34,43,0,2449,0,412,2308,2543,3617,11,9604,9580,0,3841,1829,5871,0,928,491,394,0,9679,14367,17269,0
