ASV	Sample-1	Sample-10	Sample-100	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-28	Sample-29	Sample-3	Sample-30	Sample-31	Sample-32	Sample-33	Sample-34	Sample-35	Sample-36	Sample-37	Sample-38	Sample-39	Sample-4	Sample-40	Sample-41	Sample-42	Sample-43	Sample-44	Sample-45	Sample-46	Sample-47	Sample-48	Sample-49	Sample-5	Sample-50	Sample-51	Sample-52	Sample-53	Sample-54	Sample-55	Sample-56	Sample-57	Sample-58	Sample-59	Sample-6	Sample-60	Sample-61	Sample-62	Sample-63	Sample-64	Sample-65	Sample-66	Sample-67	Sample-68	Sample-69	Sample-7	Sample-70	Sample-71	Sample-72	Sample-73	Sample-74	Sample-75	Sample-76	Sample-77	Sample-78	Sample-79	Sample-8	Sample-80	Sample-81	Sample-82	Sample-83	Sample-84	Sample-85	Sample-86	Sample-87	Sample-88	Sample-89	Sample-9	Sample-90	Sample-91	Sample-92	Sample-93	Sample-94	Sample-95	Sample-96	Sample-97	Sample-98	Sample-99
b5e52caf0a6fedbcea79b538e88c9d53	0	0	0	0	0	0	0	0	0	0	0	0	0	335501	0	498677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552017	0	0	0	0	0	0	0
24b280bb3833758c5d009e7e50f333e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138870	312047	0	0	0	0	0	0	0	295059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61ddc3658df31c991859fa012664af6a	116501	0	0	26345	39	0	0	0	0	0	11557	1999	0	44317	481	0	0	3248	0	190	0	754	0	0	0	0	0	0	1978	18376	130	0	45	79979	0	0	5107	157	6300	0	2758	0	167122	3302	0	30685	0	26135	20	151	0	21263	0	66961	15029	0	0	0	0	2610	0	2255	448	0	53306	404	0	65283	66506	0	24	14253	35431	0	0	0	13310	0	0	243	0	19263	0	144	4174	0	4339	128012	2335	75977	122	0	8301	0	16063	0	0	152	152643	99
8c0b128711e2df5dcfe95403bc62791b	0	4551	0	0	38293	0	0	0	0	16484	0	123131	245687	218	30285	0	20967	0	4764	0	47045	0	87334	0	0	17487	0	0	31768	0	10471	0	69353	0	106554	61856	0	16186	0	46635	0	0	545	10375	0	0	164	0	6778	0	14650	0	44503	0	21757	0	9808	55579	0	1969	0	238	0	0	0	50396	0	0	0	0	7	0	0	0	0	0	0	57	0	0	54580	0	9649	0	170	0	0	0	95	0	0	5	0	4	0	0	0	22210	0	0
0530cd2dd25b2fd62fc783afe42c85e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1165829	0
a0c56be1bd4efde03e63150d620e5c3f	0	0	0	0	0	0	0	0	0	0	0	0	0	285181	0	424087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452731	0	0	0	0	0	0	0
10136fe6538dbbe88b3f55f48129d872	6664	2546	0	13195	2454	0	10363	1348	8635	1432	13609	1982	5121	6566	3766	6147	1347	7616	1793	24667	2164	19223	3376	14795	16916	4516	0	26713	5458	33133	6680	32390	2897	7122	5117	3961	14658	5019	13658	2926	13095	4734	14772	3174	11937	12703	2891	108704	954	16502	738	43756	2492	26183	1130	53354	2392	1517	25279	2300	17746	1954	10666	2982	13890	2301	13346	22049	13164	7975	6356	16246	9353	0	36486	1945	28069	5674	2046	22973	1710	24722	1946	16547	2731	15185	2817	18454	1462	14511	22450	3294	35504	2551	13531	7126	24358	3680	12627	7281
802c222dea07368a74095ec8bfccd51b	264	0	0	27519	0	0	411	0	0	0	0	0	0	226	0	0	0	14784	0	6517	0	6510	0	0	409	0	0	708	28471	72026	0	26247	0	29976	0	0	1019	0	108	0	0	0	12438	0	0	200	0	12346	0	894	0	12293	0	17970	0	1532	0	0	114	0	69842	0	22356	0	1105	0	0	337666	0	0	0	1673	0	0	0	0	148462	0	0	209900	0	7016	0	51963	0	0	0	2358	0	15021	177	0	1557	0	0	0	0	0	0	0
c2a94897b70f01adc30b750725145b54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1792	0	448041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174843	0	0	0	0	0	0	0	0	0	0	303310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c49504462b44c97b532f5d17425e80be	0	217	0	0	272	0	0	360	0	435	0	450	240	0	431	0	221	0	550	0	312	0	415	0	0	466	0	0	442	0	378	0	447	0	323	985	28	972	0	853	87	2278	100	5259	28	0	1313	0	119973	0	85868	0	190878	0	55140	0	140	105379	0	118580	102	7685	72	7466	0	5655	26	0	2645	0	1599	0	533	0	0	66230	0	92521	210	0	114033	690	18357	0	19758	0	17190	213	19310	0	0	18841	0	25609	0	5986	0	2371	0	2983
32b44f2c395d200f858d94c1cbb09899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8369	0	0	55626	0	0	34114	0	60614	92591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153771	168305	189750	207560	0
33a949cb85d4d073657edfa21b69a675	20606	113	0	13238	300	0	6607	91	6590	104	2603	46	15	2111	384	2762	117	2787	128	37212	122	61723	131	58129	57754	126	0	18310	2286	32834	37	25667	156	8165	165	62	13497	124	7709	94	3111	141	2777	434	2681	23585	291	47037	79	32986	189	49517	122	15853	115	28414	67	154	28254	60	19600	109	9437	128	39179	96	4164	13422	262	3375	481	9389	166	0	38358	10	82145	811	122	29473	57	73043	206	16520	96	16817	214	6618	57	14437	14047	64	12222	75	361	110	565	98	4922	245
1556ae96b68a7373d9ba3574ed987404	720	614	0	1284	704	0	3848	486	1415	1940	11301	722	2494	20550	1811	15726	1206	22270	2651	6094	1572	5791	1503	1911	214	1502	0	3869	7112	3723	1428	3283	99	3354	590	2300	7470	2740	8996	1893	8374	6196	9733	12365	3818	1220	1899	2818	2567	759	2441	3069	10386	1364	2835	1448	555	3229	2485	4157	10213	832	11110	802	8288	529	12902	1992	15847	7856	13229	22557	10621	0	262	4749	333	5381	463	138	4070	10316	6716	2029	15069	5152	19996	41435	16254	568	10597	25243	17490	29359	34174	74232	67033	75773	88734	53099
26036adebcb1385760d4b79fe2efffd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
