#OTU ID	2A01S1	2A01S2	2A01S3	2A10S3	2A12B1	2A12B2	2A12B3	2A12S1	2A12S2	2A12S3	2B01S1	2B01S2	2B02S1	2B02S2	2B03B1	2B03B2	2B03B3	2B03S1	2B03S2	2B03S3	301B1	301B2	301B3	301S1	301S2	301S3	302S1	302S2	302S3	303S1	303S2	303S3	M01S1	M01S2	M01S3	M02S1	M04S1	M04S2	M04S3	M06S2	M06S3	M07S1	M07S2	M08B1	M08S2	M08S3	M11S1	M11S2	M11S3	M15S1	M15S2	M15S3	M16S2	M16S3	M19S1	M19S2	M19S3	M20B1	M20B2	M20B3	M22S1	M22S2	M22S3	M24S1	M24S2	M24S3	M26S1	M26S2	M28S1	M28S2	M28S3	M30B1	M30B2	M30B3	M30S1	M30S2	M32B1	M32B2	M32B3	M32S2	M32S3	PCR_blank_001	PCR_blank_002	Kingdom	K_probability	Phylum	phylum	P_probability	Class	class	Class_Probability	Order	order	O_Probability	Family	family	F_probability	Genus	genus	G_probability	Species	species	prob
49844622a8c2e743464134d4c157562b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	7	8	56	12	0	0	0	0	0	15	18	0	0	0	0	6	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Leotiomycetes	class	0.99	Helotiales	order	0.99	undef_Helotiales	family	0.99	Tetracladium	genus	0.99	Tetracladium_maxilliforme	species	0.61
d04ec7e9c561fb7dc22393c1be6a124b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	29	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Leotiomycetes	class	1	Helotiales	order	1	undef_Helotiales	family	1	Tetracladium	genus	1	Tetracladium_maxilliforme	species	0.86
bca59046b14c06efac582e1ac3714d6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	0	0	0	4	5	0	0	6	8	0	0	0	0	0	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Sordariomycetes	class	1	Hypocreales	order	1	Ophiocordycipitaceae	family	0.8	Purpureocillium	genus	0.8	Purpureocillium_lilacinum	species	0.8
42be00dbb9463883dec6de4575baf8b5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	7	0	14	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Sordariomycetes	class	0.96	Hypocreales	order	0.95	Bionectriaceae	family	0.84	Gliomastix	genus	0.81	Gliomastix_murorum	species	0.81
72b86a8c7a1a6a4daf015b60e90a704f	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Sordariomycetes	class	1	Hypocreales	order	1	Cordycipitaceae	family	0.94	Akanthomyces	genus	0.94	Akanthomyces_lecanii	species	0.94
6c39c43c5e15d5c4a5dfea27d4b56982	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	35	0	16	0	0	55	0	56	96	47	0	0	20	0	142	0	0	156	48	9	0	22	55	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Sordariomycetes	class	1	Hypocreales	order	1	Nectriaceae	family	0.99	Fusarium	genus	0.96	Fusarium_haematococcum	species	0.49
d44cb25c347d006d7763a224940e28e7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	11	0	0	16	12	11	21	17	19	0	5	0	0	56	85	0	0	0	0	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Sordariomycetes	class	1	Hypocreales	order	1	Cordycipitaceae	family	0.98	Akanthomyces	genus	0.98	Akanthomyces_lecanii	species	0.98
c38fdfd59a105643be8db40633b74999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Sordariomycetes	class	1	Hypocreales	order	1	Cordycipitaceae	family	0.99	Akanthomyces	genus	0.99	Akanthomyces_lecanii	species	0.99
d388a42f47cf0aff79dc33ea832fa6ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	47	77	0	9	0	6	0	16	0	75	0	0	0	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Sordariomycetes	class	1	Hypocreales	order	1	Nectriaceae	family	1	Fusarium	genus	1	Fusarium_proliferatum	species	0.54
0b29b870cd020bca76cb9099179e309b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	528	0	0	0	18	0	0	0	0	0	0	0	21	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Sordariomycetes	class	1	Hypocreales	order	1	undef_Hypocreales	family	1	Gliocladium	genus	1	Gliocladium_viride	species	1
