#OTU ID	Sample-1	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-28	Sample-29	Sample-3	Sample-30	Sample-31	Sample-32	Sample-33	Sample-34	Sample-35	Sample-36	Sample-37	Sample-38	Sample-39	Sample-4	Sample-40	Sample-41	Sample-42	Sample-43	Sample-44	Sample-45	Sample-46	Sample-47	Sample-48	Sample-49	Sample-5	Sample-50	Sample-51	Sample-52	Sample-53	Sample-54	Sample-55	Sample-56	Sample-57	Sample-58	Sample-59	Sample-6	Sample-60	Sample-61	Sample-62	Sample-63	Sample-64	Sample-65	Sample-66	Sample-67	Sample-68	Sample-69	Sample-7	Sample-70	Sample-71	Sample-72	Sample-73	Sample-74	Sample-75	Sample-76	Sample-77	Sample-78	Sample-79	Sample-8	Sample-80	Sample-81	Sample-83	Sample-9	Taxon_Rescript	Phylum	Class	Order	Family	Genus	Species	Confidence	BLAST
244120f88225ccca2d22178f40cda79a	0	0	0	427	0	845	0	3760	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	371	249	0	0	0	0	14	0	0	8189	0	0	0	0	0	0	0	0	0	0	593	560	2684	0	0	0	0	0	0	0	0	1346	0	0	0	1024	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	351918	0	0	0	0	k__Metazoa	 Chordata						0.999999999999999	
fc7aa0ed2927c52453396c7ce46bcbb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						1	
8853d8115fe6f78f3f488b4424c808cc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	79777	0	0	0	0	0	0	230070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	0	0	1635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						1	
6a618059cbc6ca1c1e45482c1482d132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Gadiformes	 Gaidropsaridae	 Enchelyopus	 cimbrius	0.999995361427566	
15a1bb23555b47294897e2185d5afeba	0	0	0	0	0	0	1241	0	1015	0	0	0	0	0	0	195613	0	628	0	3445	1090	0	0	0	0	0	0	0	654	0	0	0	0	0	0	993	1206	0	0	0	12146	2787	2237	0	1251	0	0	3578	1099	0	1540	0	0	7550	1311	0	2660	0	0	0	3299	1047	635	0	0	0	0	0	624	0	0	0	0	1614	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.99999999999999	
87c1412a63d69e0736ae1a2fc2a4c8cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Pleuronectiformes	 Pleuronectidae	 Hippoglossoides		0.935113335429082	
ceca0f10cebc847b7530a044b5b43351	0	774	1614	2570	0	0	7053	1253	771	990	0	0	0	13523	5650	5840	0	1080	0	14475	3386	0	0	0	0	0	1272	969	1868	423	0	3836	0	6763	3939	3229	4411	0	0	2786	40244	10527	17087	0	3454	0	0	18797	2971	0	3846	0	0	13364	4220	322	5913	0	0	0	4070	3276	1626	0	0	0	0	0	2112	4908	455	0	344	3972	0	0	0	2178	0	0	0	1851	k__Metazoa	 Chordata						1.00000000000001	
96e82e088ba24a3026bcebc26ff9c1ca	0	0	0	0	0	706	0	0	0	0	0	0	0	0	0	0	0	2141	0	0	0	0	21013	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205736	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						1.00000000000001	
8634e95ba290c3ad8a12f6148c21050b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187103	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						1.00000000000001	
b9b6b26c8b8f6289e537f1d67333f0b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999997	
36ae3a0cd34ca6ea7a15aee637f7a91d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Chondrichthyes	 Lamniformes	 Alopiidae	 Lamna	 ditropis	0.76007458826283	
664cc5dfac193283d5f957387e8b33f9	0	0	0	11740	0	0	0	0	0	0	0	0	0	0	0	0	19034	11592	0	0	0	0	84461	0	0	0	0	0	0	0	6275	0	0	31568	0	314	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	3703	0	0	0	0	0	0	14828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999994	
90a4b314249e045631e7e2de7a5fc5e7	0	0	0	0	0	0	0	0	0	0	0	0	0	168533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999993	
