OTU ID	962-ENEG-1	962-ENEG-2	963-ENEG-1	963-ENEG-2	964-ENEG-1	964-ENEG-2	965-ENEG-1	965-ENEG-2	BBL25-521760	CAR25-518830	CAR25-518831	CAR25-518836	CAR25-518837	CAR25-518855	CAR25-518856	CAR25-518862	CAR25-518863	CAR25-518872	CAR25-518873	CAR25-518879	CAR25-518880	CAR25-518927	CAR25-518928	CAR25-519011	CAR25-519012	CAR25-519017	CAR25-519018	CAR25-519028	CAR25-519029	CAR25-519082	CAR25-519083	CAR25-519157	CAR25-519158	CAR25-519163	CAR25-519164	CAR25-519170	CAR25-519171	CAR25-519176	CAR25-519177	CAR25-519182	CAR25-519183	CAR25-519197	CAR25-519198	CAR25-519268	CAR25-519269	CAR25-519329	CAR25-519330	CAR25-519335	CAR25-519336	CAR25-519407	CAR25-519408	CAR25-519590	CAR25-519591	CAR25-519648	CAR25-519649	CAR25-FB101	CAR25-FB111	CAR25-FB114	CAR25-FB128	CAR25-FB131	CAR25-FB141	CAR25-FB144	CAR25-FB585	CAR25-FB614	CAR25-FB67	CAR25-FB72	CAR25-FB75	CAR25-FB82	CAR25-FB86	CAR25-FB98	GUL25-522118	GUL25-522119	GUL25-522134	GUL25-522135	GUL25-522163	GUL25-522164	GUL25-522169	GUL25-522185	GUL25-522186	GUL25-522192	GUL25-FB668	NEC25-521595	NEC25-521596	NEC25-521615	NEC25-521616	NEC25-521631	NEC25-521632	NEC25-521648	NEC25-521649	NEC25-521663	NEC25-521664	NEC25-521686	NEC25-521687	NEC25-521702	NEC25-521703	NEC25-FB641
70194e86ac945d32c7a80d66609b8c6c	0.0	12.0	0.0	0.0	30.0	0.0	15.0	0.0	0.0	3818.0	3738.0	3626.0	3595.0	4336.0	3983.0	2581.0	1713.0	2401.0	2471.0	3652.0	4149.0	98.0	254.0	1075.0	1350.0	2950.0	3487.0	1718.0	3011.0	3168.0	1324.0	3627.0	3409.0	411.0	1479.0	4295.0	9943.0	2523.0	1835.0	2222.0	1781.0	2545.0	1829.0	783.0	1681.0	1084.0	1391.0	4420.0	4831.0	0.0	0.0	4195.0	7175.0	2187.0	3954.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	375.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	262.0	0.0	6017.0	6642.0	1069.0	1492.0	556.0	529.0	1893.0	1443.0	2124.0	2035.0	2043.0	1441.0	671.0	791.0	0.0
b0075c383879b1a50460942737d7d11e	25.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11218.0	7816.0	6867.0	8456.0	3434.0	4604.0	4169.0	3641.0	4248.0	5398.0	8138.0	9892.0	0.0	127.0	243.0	748.0	1610.0	1540.0	5650.0	7193.0	132.0	0.0	701.0	1498.0	762.0	407.0	564.0	2568.0	4112.0	4300.0	1101.0	1319.0	0.0	0.0	981.0	674.0	938.0	222.0	404.0	542.0	664.0	66.0	2814.0	2370.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	84.0	0.0	6651.0	9932.0	645.0	1135.0	220.0	606.0	372.0	761.0	954.0	900.0	633.0	753.0	150.0	143.0	0.0
f7007bb0c3ad9359fa9bd86b590fd997	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	25.0	0.0	0.0	0.0	0.0	0.0	13.0	27060.0	0.0	0.0	0.0	97.0	0.0	15.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	115590.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6bc0edb7d95803d62af10b613aeebec0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	95.0	262.0	127.0	0.0	0.0	22.0	0.0	2438.0	3167.0	1545.0	459.0	2275.0	6396.0	0.0	142.0	620.0	570.0	1063.0	105.0	5574.0	1700.0	479.0	164.0	1075.0	856.0	278.0	615.0	944.0	1551.0	0.0	0.0	5070.0	3285.0	3096.0	4548.0	3928.0	5228.0	3325.0	2418.0	11183.0	9571.0	720.0	835.0	1579.0	3124.0	0.0	0.0	4.0	0.0	0.0	0.0	105.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2183.0	3045.0	2262.0	1030.0	0.0	0.0	6921.0	0.0	0.0	1204.0	0.0	865.0	981.0	786.0	1928.0	763.0	602.0	1646.0	1592.0	1941.0	1837.0	1918.0	2941.0	3218.0	4351.0	0.0
d2d7e83cd46cc3657d4fcf2d6afdeb34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124924.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6ca3558edf7073c2c4d4b2b6774b98c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3679.0	2510.0	3432.0	3309.0	1260.0	2675.0	615.0	2334.0	9688.0	8854.0	5247.0	3933.0	705.0	1930.0	435.0	852.0	653.0	1551.0	5111.0	3279.0	2791.0	1013.0	2248.0	2673.0	5172.0	3149.0	2061.0	4676.0	236.0	441.0	184.0	95.0	3685.0	2009.0	189.0	518.0	606.0	423.0	326.0	528.0	45.0	0.0	610.0	682.0	3884.0	9459.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	122.0	79.0	84.0	0.0	0.0	137.0	0.0	0.0	488.0	0.0	2137.0	2476.0	470.0	980.0	297.0	431.0	326.0	500.0	709.0	885.0	1341.0	1166.0	1183.0	942.0	0.0
5ff637756c606ffc42d88e9d9b2dec5d	9.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	8959.0	10587.0	11390.0	10323.0	3919.0	4217.0	4374.0	5280.0	2027.0	2723.0	5110.0	4921.0	6.0	0.0	147.0	94.0	67.0	334.0	2289.0	2625.0	40.0	24.0	1322.0	1557.0	36.0	75.0	1148.0	5065.0	5271.0	5132.0	2230.0	2454.0	13.0	0.0	227.0	333.0	101.0	217.0	1304.0	1692.0	17.0	0.0	3620.0	3833.0	9.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	864.0	1524.0	74.0	44.0	59.0	0.0	31.0	32.0	39.0	50.0	0.0	52.0	0.0	0.0	0.0
f2aa2d137c9f9febcb74d54fc99efaff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15932.0	23002.0	18674.0	9392.0	9147.0	12368.0	885.0	2117.0	8949.0	5693.0	4372.0	2578.0	26.0	92.0	94.0	32.0	275.0	47.0	163.0	123.0	0.0	0.0	0.0	13.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	412.0	36.0	94.0	86.0	65.0	0.0	59.0	43.0	76.0	158.0	199.0	379.0	422.0	0.0
ec3baadfd664830ad3edff9900c71b8a	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1054.0	1278.0	821.0	916.0	2534.0	3343.0	5020.0	8453.0	1817.0	2454.0	4481.0	5671.0	56.0	125.0	153.0	107.0	201.0	140.0	4841.0	6673.0	1325.0	362.0	2757.0	3292.0	1634.0	957.0	1174.0	3046.0	4921.0	5260.0	3926.0	3712.0	458.0	293.0	1066.0	1932.0	1222.0	2290.0	2917.0	2365.0	121.0	0.0	3121.0	2811.0	95.0	334.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	303.0	38.0	206.0	0.0	0.0	218.0	0.0	0.0	132.0	0.0	400.0	764.0	124.0	242.0	53.0	113.0	228.0	321.0	316.0	419.0	792.0	813.0	618.0	607.0	0.0
f3f82bce45b500e63c67aad53349e394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	178.0	258.0	222.0	0.0	0.0	83.0	71.0	142.0	0.0	97.0	79.0	0.0	0.0	0.0	0.0	238.0	0.0	1305.0	1336.0	287.0	140.0	6767.0	9209.0	2754.0	2837.0	1536.0	2106.0	6616.0	7568.0	10287.0	13210.0	0.0	0.0	1941.0	3289.0	2913.0	3980.0	4018.0	5694.0	605.0	392.0	5979.0	5972.0	139.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	109.0	0.0	0.0	182.0	0.0	731.0	639.0	149.0	0.0	0.0	0.0	0.0	122.0	236.0	383.0	252.0	198.0	218.0	247.0	0.0
