Species,confidence,ENEG.1_S19,ENEG.1_S30,ENEG.1_S41,ENEG.2_S38,ENEG.2_S43,ENEG.2_S65,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060
Micromonas_pusilla,0.99,0,0,0,0,0,0,133,187,231,0,0,17,15,0,303,263,373,0,0,0,0,0,9,0,0,0,0,0,0,0,2217,2493,2679,0,27,17,25,0,33,28,0,8,0,0,0,15,0,11,101,815,1161,0,87,133,0,182,163,144,0,103,442,452,0,0,296,184,0
Micromonas_pusilla,1,0,0,0,0,0,0,831,1441,1323,0,50,56,104,0,7187,7964,9089,11,48,31,48,0,114,137,50,0,0,131,150,0,2220,2393,2573,0,294,204,216,0,95,157,0,87,0,0,0,213,218,164,94,1114,1471,0,676,1666,0,367,397,285,0,86,301,311,0,20,501,423,0
Dodecaceria_concharum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,44,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,91,80,0,0,13,64,51,0
Dodecaceria_concharum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,0,0,72,67,0,13,14,0,0,0,63,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,31,61,27,0,104,0,70,0,0,53,0,0
Paracalanus_parvus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,406,968,0,0,0,0,0,111,73,0,0,14,6,0,0,9,13,0
Paracalanus_parvus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,186,58,0,43,0,0,0,0,0,0,0,0,0,0,0
Paracalanus_parvus,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0
Amphitrite_figulus,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,101,62,59,0,0,0,0,0,15,18,26,0,0,274,348,0,0,7,5,0,152,101,40,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3394,1919,4,0,5732,12130,719,0,0,0,292,9,0,0,0,0,0,0,7,0,13,11,0,0,0,22,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionospio_steenstrupi,1,0,0,0,0,0,0,0,3,0,0,23,2323,0,0,0,0,0,0,15707,14437,127,10,1875,0,1358,0,0,2895,3634,0,0,0,0,0,16,0,0,0,0,0,0,139,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,0,0,0,12,0,0
Asterias_forbesi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,63,53,0,19,7,0,0,4,5,0,0,0,127,210,0,10,35,32,0,62,59,41,0,0,0,0,80,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0
Calanus_finmarchicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0
Acartia_longiremis,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apeltes_quadracus,1,0,0,0,0,0,0,642,610,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Testudinalia_testudinalis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,61,41,0,0,0,8,0,0,0,155,189,2,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanothamnus_harveyi,1,0,0,0,0,0,0,0,0,6,0,0,11,34,0,0,0,0,0,0,12,39,0,0,0,0,0,0,0,15,0,0,0,0,0,27,39,40,0,0,11,0,9,0,0,0,0,29,51,0,0,12,0,8,0,0,0,0,15,0,0,319,185,0,0,26,29,0
Alitta_virens,1,0,0,0,0,0,0,1295,917,1258,0,424,689,406,0,47,0,56,0,173,101,373,0,447,479,17,0,0,774,1566,47,26,0,22,0,345,495,248,0,33,33,0,96,8,0,0,779,835,6325,77,268,142,0,424,486,0,17,35,0,0,380,160,105,0,10,75,50,0
Glycera_dibranchiata,1,0,0,0,0,0,0,0,6,0,10,0,44,14,0,126,95,682,0,4526,5251,1294,0,105,17165,1498,0,0,637,1035,19,8,0,0,0,30,26,17,0,20,21,0,30,0,10,0,6,0,28,0,116,6,0,6,0,0,0,0,0,5,0,14,8,0,5,14,25,0
Micronephthys_minuta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,203,0,0,53,113,20,0,0,49,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041,1680,0,0,0,0,0,0,0,0,0
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,0,0,0,0,0,0,0
Pherusa_affinis,1,0,0,0,0,0,0,0,0,0,0,27,0,43,0,288,0,199,0,0,0,0,0,0,0,51,0,0,0,0,0,0,17,0,0,0,761,560,0,0,39,0,27,0,0,0,0,97,283,0,0,20,0,0,37,0,4,0,0,0,0,96,160,0,17,0,115,0
Menidia_menidia,1,0,0,0,0,0,0,213,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homo_sapiens,1,0,0,0,0,0,0,0,0,11,0,0,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,59,0,0,0,22,0,22,0,0,0,0,99,115,0,0,56,49,16,0,0,0,0,120,42,0,0,0,172,104,0
Simulium_tuberosum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,232,242,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasysiphonia_japonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,111,52,0,0,0,3,12,0,0,0,74,0,209,402,68,0,0,0,0,8,0,0,0,0,0,0,0,0,24,0,7,0,0,0,0,0,0,3,320,1803,0,0,0,0,0
Dasysiphonia_japonica,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,8,0,0,33,212,123,0,52,38,12,0,0,0,0,0,9,10,0,0,249,94,161,0,22,67,0,0,0,0,0,174,88,212,0,11,0,0,0,9,0,0,0,3,0,0,0,0,0,0,87,12,0
Mya_arenaria,1,0,0,0,0,0,0,48,201,83,0,17,16,24,0,53,62,36,0,0,0,0,0,0,3,0,0,0,56,51,0,30,45,59,0,1644,779,287,0,77,284,0,85,0,0,0,0,0,0,0,8,16,0,18,65,0,0,0,0,0,3,0,12,0,0,0,0,0
Pherusa_affinis,1,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,297,0,0,40,0,0,0,159,319,0,0,0,139,124,0,23,0,15,0,805,0,0,0,0,0,0,0,0,0,0,1285,0,0,0,22,0,0,13,0,0,0,0,0,0,123,0,0,0,0,0,0,0
Lacuna_vincta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2352,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacuna_vincta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacuna_vincta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,0,19,0,0,0,0,0,0,61,46,0,0,17,0,0,0,48,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2125,0,0,0,0,1451,0,0,0,0,0
Acrochaetium_moniliforme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,302,273,282,0,0,46,0,70,0,0,0,61,80,175,0,0,0,0,0,0,0,0,9,0,0,0,211,101,0,0,105,0,0
Callithamnion_corymbosum,1,0,0,0,0,0,0,0,0,0,0,2,3,6,0,0,0,0,0,40,29,31,0,9,11,0,0,0,9,0,0,0,0,0,0,9,14,31,0,4,0,0,4,0,0,0,15,29,94,0,38,43,0,0,7,0,39,46,30,0,113,1068,1004,0,28,921,548,0
Microgadus_tomcod,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,20,0,23,24,6,0,42,24,0,4,4,0,0,23,0,0,182,0,0,14,0,13,30,0,21,42,0,0,0,8,0,13,6,23,0,33,23,213,0
Polydora_onagawaensis,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,7,0,20,0,7,10,0,0,0,29,57,0,0,0,4,0,13,12,0,0,70,9,0,12,0,0,0,0,896,97,0,5,3,0,0,0,0,0,0,0,0,0,12,21,0,0,5,9,0
Acartia_tonsa,0.73,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,100,0,115,0,0,0,248,0,218,3229,1636,0
Acartia_tonsa,0.76,0,0,0,0,3,0,0,0,0,0,11,0,53,0,0,0,0,0,14,0,0,7,0,112,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,36,70,0,75,7,52,4,119,560,372,0,564,9343,4073,0
Obelia_geniculata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,39,72,0,0,51,32,0,54,72,45,0,0,0,0,27,0,0,0,20,28,87,0,11,0,0,0,4,0,0,0,0,0,35,119,119,0,0,0,5,0
Nicolea_zostericola,1,0,0,2,0,0,0,0,0,0,0,10,0,0,0,133,276,80,0,561,694,542,0,5,12,0,0,0,6,401,8,15,28,16,0,0,64,26,0,22,10,0,95,0,0,0,40,54,264,0,0,27,0,48,71,0,34,47,56,0,196,173,204,0,2540,57,26,0
Hydractinia_echinata,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28,0,0,0,17,29,0,0,0,0,0,20,10,27,0,0,0,0,13,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,18,94,51,0,0,0,1489,0
Harmothoe_imbricata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmothoe_imbricata,1,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0,15,0,15,0,0,11,0,0,0,0,0,0,7,0,5,0,14,10,10,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,9,12,0,0,9,0,0
Clymenella_torquata,1,0,0,0,0,0,0,0,5,6,0,89,450,325,0,107,97,22,0,46,52,277,0,15,13,23,0,0,30,39,0,51,62,33,0,88,107,27,0,8,0,0,11,0,0,0,12,25,112,0,38,31,0,17,79,0,4,8,0,0,79,34,121,0,0,0,22,0
Centropages_hamatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinophilus_vorticoides,1,0,0,0,0,0,0,0,0,0,0,6156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinophilus_vorticoides,1,0,0,0,0,0,0,0,0,0,0,677,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
